Blank,Member Number,Account Number,FIRST NAME,MIDDLE NAME,LAST NAME,ROUTE NO.,ROUTE NAME,PHOTO,Phone Number,NATIONAL ID,NSSF,NHIF,Address,Homestead,Town,Postal Code,District,Province,Latitude,Longitude,Status,FarmName
,00067,0894-0000-0067,NGAARI,,GICHAMU,R002,NGECHA,,254748131765,266242649,532608754,798851403,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gichamu Ngecha Farm
,00075,0894-0000-0075,KENNETH,,WANJAI,R014,KWAMBIRA,,254748144110,266366105,532855666,799221771,P. O. Box 8,Kwambira,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjai Kwambira Farm
,00077,0894-0000-0077,NDUNGU,,NJENGA,R015,NDIONI,,254748156455,266489561,533102578,799592139,P. O. Box 8,Ndioni,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njenga Ndioni Farm
,00079,0894-0000-0079,GEORGE,,KIMUNYA,R005,MURENGETI,,254748168800,266613017,533349490,799962507,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kimunya Murengeti Farm
,00089,0894-0000-0089,JOYCE,,MURUGI,R006,KABUKU,,254748181145,266736473,533596402,800332875,P. O. Box 8,Kabuku,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Murugi Kabuku Farm
,00091,0894-0000-0091,PETER,,KURIA,R018,KAMANDURA,,254748193490,266859929,533843314,800703243,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kuria Kamandura Farm
,00092,0894-0000-0092,GLADYS,,WANJIKU,R014,KWAMBIRA,,254748205835,266983385,534090226,801073611,P. O. Box 8,Kwambira,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Kwambira Farm
,00097,0894-0000-0097,MBUGUA,,MICHUKI,R018,KAMANDURA,,254748218180,267106841,534337138,801443979,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Michuki Kamandura Farm
,00101,0894-0000-0101,ALICE,,WANJIRU,R023,KINYOGORI,,254748230525,267230297,534584050,801814347,P. O. Box 8,Kinyogori,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Kinyogori Farm
,00102,0894-0000-0102,JAMES,,NGANGA,R019,KIHURURU,,254748242870,267353753,534830962,802184715,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nganga Kihururu Farm
,00112,0894-0000-0112,WAKABOCHI,,MUONGI,R002,NGECHA,,254748255215,267477209,535077874,802555083,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Muongi Ngecha Farm
,00117,0894-0000-0117,EUNICE,,MWIHAKI,R019,KIHURURU,,254748267560,267600665,535324786,802925451,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mwihaki Kihururu Farm
,00118,0894-0000-0118,WANJIKU,,NGANGA,R018,KAMANDURA,,254748279905,267724121,535571698,803295819,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nganga Kamandura Farm
,00120,0894-0000-0120,SERAH,,WAMBUI,R001,LIMURU,,254748292250,267847577,535818610,803666187,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wambui Limuru Farm
,00122,0894-0000-0122,EDMUD,,GICHINI,R003,RIRONI,,254748304595,267971033,536065522,804036555,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gichini Rironi Farm
,00124,0894-0000-0124,RAHAB,,KIBUI,R002,NGECHA,,254748316940,268094489,536312434,804406923,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kibui Ngecha Farm
,00125,0894-0000-0125,MARIA,,WANJIRU,R005,MURENGETI,,254748329285,268217945,536559346,804777291,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Murengeti Farm
,00134,0894-0000-0134,PETER,,KAHIA,R020,NGARARIGA,,254748341630,268341401,536806258,805147659,P. O. Box 8,Ngarariga,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kahia Ngarariga Farm
,00138,0894-0000-0138,GEORFREY,,MWATHI,R006,KABUKU,,254748353975,268464857,537053170,805518027,P. O. Box 8,Kabuku,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mwathi Kabuku Farm
,00143,0894-0000-0143,RUTH,,WANJIKU,R003,RIRONI,,254748366320,268588313,537300082,805888395,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Rironi Farm
,00161,0894-0000-0161,ZIPPORAH,,NJERI,R005,MURENGETI,,254748378665,268711769,537546994,806258763,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njeri Murengeti Farm
,00165,0894-0000-0165,MARY,,WATIRI,R005,MURENGETI,,254748391010,268835225,537793906,806629131,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Watiri Murengeti Farm
,00168,0894-0000-0168,JOANNA,,WANJIRU,R001,LIMURU,,254748403355,268958681,538040818,806999499,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Limuru Farm
,00175,0894-0000-0175,EDDIS,,NYAMBURA,R015,NDIONI,,254748415700,269082137,538287730,807369867,P. O. Box 8,Ndioni,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nyambura Ndioni Farm
,00176,0894-0000-0176,GEOFFREY,,GIKONYO,R001,LIMURU,,254748428045,269205593,538534642,807740235,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gikonyo Limuru Farm
,00180,0894-0000-0180,LILIAN,,WANGARI,R004,TIEKUNU,,254748440390,269329049,538781554,808110603,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wangari Tiekunu Farm
,00182,0894-0000-0182,PENINAH,,WANJIRU,R003,RIRONI,,254748452735,269452505,539028466,808480971,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Rironi Farm
,00183,0894-0000-0183,TERESIAH,,WANJIKU,R009,NDERU,,254748465080,269575961,539275378,808851339,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Nderu Farm
,00185,0894-0000-0185,HERINA,,NJERI,R022,NDUMA,,254748477425,269699417,539522290,809221707,P. O. Box 8,Nduma,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njeri Nduma Farm
,00187,0894-0000-0187,NELSON,,NJUGUNA,R002,NGECHA,,254748489770,269822873,539769202,809592075,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njuguna Ngecha Farm
,00199,0894-0000-0199,JOHN,,WILSON,R005,MURENGETI,,254748502115,269946329,540016114,809962443,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wilson Murengeti Farm
,00202,0894-0000-0202,KIMANI,,NJOROGE,R005,MURENGETI,,254748514460,270069785,540263026,810332811,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njoroge Murengeti Farm
,00207,0894-0000-0207,TERESIA,,MUMBI,R015,NDIONI,,254730787040,92786969,185697394,278484363,P. O. Box 8,Ndioni,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mumbi Ndioni Farm
,00208,0894-0000-0208,EUNICE,,MUMBI,R020,NGARARIGA,,254730799385,92910425,185944306,278854731,P. O. Box 8,Ngarariga,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mumbi Ngarariga Farm
,00209,0894-0000-0209,DANIEL,,MUNDIA,R009,NDERU,,254730811730,93033881,186191218,279225099,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mundia Nderu Farm
,00213,0894-0000-0213,NJENGA,,KARUGO,R016,KIROE,,254730824075,93157337,186438130,279595467,P. O. Box 8,Kiroe,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Karugo Kiroe Farm
,00214,0894-0000-0214,SAMUEL,,WACHIRA,R001,LIMURU,,254733206660,116984345,234092146,351076491,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wachira Limuru Farm
,00215,0894-0000-0215,MARTIN,,GITHUKA,R017,GATIMU,,254730836420,93280793,186685042,279965835,P. O. Box 8,Gatimu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Githuka Gatimu Farm
,00218,0894-0000-0218,MILICENT,,WANGARI,R004,TIEKUNU,,254730848765,93404249,186931954,280336203,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wangari Tiekunu Farm
,00219,0894-0000-0219,MARTHA,,WANJIKU,R017,GATIMU,,254730861110,93527705,187178866,280706571,P. O. Box 8,Gatimu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Gatimu Farm
,00220,0894-0000-0220,MUIRURI,,MBIRA,R009,NDERU,,254730873455,93651161,187425778,281076939,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mbira Nderu Farm
,00224,0894-0000-0224,PHILIS,,NJERI,R004,TIEKUNU,,254730885800,93774617,187672690,281447307,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njeri Tiekunu Farm
,00225,0894-0000-0225,LEAH,,WAIRIMU,R018,KAMANDURA,,254730898145,93898073,187919602,281817675,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wairimu Kamandura Farm
,00227,0894-0000-0227,KARIUKI,,BORO,R004,TIEKUNU,,254730910490,94021529,188166514,282188043,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Boro Tiekunu Farm
,00229,0894-0000-0229,KIMANI,,KARANJA,R001,LIMURU,,254730922835,94144985,188413426,282558411,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Karanja Limuru Farm
,00231,0894-0000-0231,KURIA,,THARAO,R005,MURENGETI,,254730675935,91675865,183475186,275151051,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Tharao Murengeti Farm
,00232,0894-0000-0232,SCHOLAR,,WANGUI,R005,MURENGETI,,254730935180,94268441,188660338,282928779,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wangui Murengeti Farm
,00233,0894-0000-0233,RAHAB,,WAITHIRA,R032,MAKUTANO,,254732379545,108712793,217549042,326261835,P. O. Box 8,Makutano,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Waithira Makutano Farm
,00242,0894-0000-0242,HANNAH,,WANJIRU,R005,MURENGETI,,254730947525,94391897,188907250,283299147,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Murengeti Farm
,00245,0894-0000-0245,WAIRATI,,NJENGA,R004,TIEKUNU,,254730959870,94515353,189154162,283669515,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njenga Tiekunu Farm
,00250,0894-0000-0250,NJEHU,,KABERA,R017,GATIMU,,254730688280,91799321,183722098,275521419,P. O. Box 8,Gatimu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kabera Gatimu Farm
,00251,0894-0000-0251,JOHN,,MWAURA,R003,RIRONI,,254730972215,94638809,189401074,284039883,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mwaura Rironi Farm
,00256,0894-0000-0256,MONICAH,,WANJIRU,R016,KIROE,,254730984560,94762265,189647986,284410251,P. O. Box 8,Kiroe,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Kiroe Farm
,00260,0894-0000-0260,JECINTA,,WANJIRU,R012,MUGUGA,,254730996905,94885721,189894898,284780619,P. O. Box 8,Muguga,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Muguga Farm
,00267,0894-0000-0267,GLADYS,,WANJIKU,R003,RIRONI,,254731009250,95009177,190141810,285150987,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Rironi Farm
,00280,0894-0000-0280,JOHN,,MBURU,R003,RIRONI,,254730700625,91922777,183969010,275891787,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mburu Rironi Farm
,00283,0894-0000-0283,WANGARI,,MBURU,R005,MURENGETI,,254731021595,95132633,190388722,285521355,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mburu Murengeti Farm
,00284,0894-0000-0284,ELIJAH,,KIRATU,R005,MURENGETI,,254731033940,95256089,190635634,285891723,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kiratu Murengeti Farm
,00299,0894-0000-0299,MICHAEL,,KIIRU,R002,NGECHA,,254731046285,95379545,190882546,286262091,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kiiru Ngecha Farm
,00301,0894-0000-0301,RICHARD,,MBEKE,R002,NGECHA,,254731058630,95503001,191129458,286632459,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mbeke Ngecha Farm
,00302,0894-0000-0302,JOHN,,CHEGE,R019,KIHURURU,,254730712970,92046233,184215922,276262155,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Chege Kihururu Farm
,00309,0894-0000-0309,PETER,,KARIUKI,R019,KIHURURU,,254731070975,95626457,191376370,287002827,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kariuki Kihururu Farm
,00312,0894-0000-0312,LOISE,,NYAMBURA,R002,NGECHA,,254731083320,95749913,191623282,287373195,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nyambura Ngecha Farm
,00313,0894-0000-0313,PETER,,KUBAI,R019,KIHURURU,,254731095665,95873369,191870194,287743563,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kubai Kihururu Farm
,00322,0894-0000-0322,JOSEPH,,WACHIRA,R001,LIMURU,,254731108010,95996825,192117106,288113931,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wachira Limuru Farm
,00324,0894-0000-0324,KARANJA,,KANINI,R002,NGECHA,,254731120355,96120281,192364018,288484299,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kanini Ngecha Farm
,00325,0894-0000-0325,PENINA,,WAMBUI,R002,NGECHA,,254731132700,96243737,192610930,288854667,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wambui Ngecha Farm
,00328,0894-0000-0328,WALLACE,,NJUGUNA,R011,NYATHUNA,,254731145045,96367193,192857842,289225035,P. O. Box 8,Nyathuna,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njuguna Nyathuna Farm
,00330,0894-0000-0330,NJUGUNA,,KARIUKI,R010,THIGIO,,254731157390,96490649,193104754,289595403,P. O. Box 8,Thigio,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kariuki Thigio Farm
,00342,0894-0000-0342,CHARLES,,NJONJO,R002,NGECHA,,254731169735,96614105,193351666,289965771,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njonjo Ngecha Farm
,00347,0894-0000-0347,SIMON,,THONDU,R002,NGECHA,,254731182080,96737561,193598578,290336139,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Thondu Ngecha Farm
,00352,0894-0000-0352,ZAKARIA,,NGANGA,R018,KAMANDURA,,254731194425,96861017,193845490,290706507,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nganga Kamandura Farm
,00356,0894-0000-0356,NGONYO,,MBURU,R004,TIEKUNU,,254731206770,96984473,194092402,291076875,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mburu Tiekunu Farm
,00359,0894-0000-0359,DANIEL,,GACHUIRI,R004,TIEKUNU,,254731219115,97107929,194339314,291447243,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gachuiri Tiekunu Farm
,00360,0894-0000-0360,JOHN,,KARIUKI,R002,NGECHA,,254731231460,97231385,194586226,291817611,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kariuki Ngecha Farm
,00365,0894-0000-0365,JOHNSON,,NJOROGE,R004,TIEKUNU,,254731243805,97354841,194833138,292187979,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njoroge Tiekunu Farm
,00366,0894-0000-0366,MWATHI,,KAGUI,R005,MURENGETI,,254731256150,97478297,195080050,292558347,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kagui Murengeti Farm
,00369,0894-0000-0369,MARGARET,,WANJA,R016,KIROE,,254731268495,97601753,195326962,292928715,P. O. Box 8,Kiroe,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanja Kiroe Farm
,00380,0894-0000-0380,WANGARI,,MIRIE,R009,NDERU,,254731280840,97725209,195573874,293299083,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mirie Nderu Farm
,00387,0894-0000-0387,NGANGA,,GITUYA,R003,RIRONI,,254731293185,97848665,195820786,293669451,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gituya Rironi Farm
,00392,0894-0000-0392,KAHIA,,HIGO,R005,MURENGETI,,254731305530,97972121,196067698,294039819,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Higo Murengeti Farm
,00394,0894-0000-0394,JANE,,MUMBI,R001,LIMURU,,254731317875,98095577,196314610,294410187,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mumbi Limuru Farm
,00398,0894-0000-0398,SAMUEL,,NJUBI,R004,TIEKUNU,,254731330220,98219033,196561522,294780555,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njubi Tiekunu Farm
,00399,0894-0000-0399,KAIRU,,KARIUKI,R002,NGECHA,,254731342565,98342489,196808434,295150923,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kariuki Ngecha Farm
,00406,0894-0000-0406,EMILY,,WANGARI,R006,KABUKU,,254731367255,98589401,197302258,295891659,P. O. Box 8,Kabuku,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wangari Kabuku Farm
,00416,0894-0000-0416,FRANCIS,,KAIRU,R018,KAMANDURA,,254731379600,98712857,197549170,296262027,P. O. Box 8,Kamandura,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kairu Kamandura Farm
,00425,0894-0000-0425,WALLACE,,KARANJA,R009,NDERU,,254731391945,98836313,197796082,296632395,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Karanja Nderu Farm
,00426,0894-0000-0426,NGANGA,,GICHURE,R004,TIEKUNU,,254731404290,98959769,198042994,297002763,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gichure Tiekunu Farm
,00427,0894-0000-0427,PAUL,,NJOROGE,R005,MURENGETI,,254731416635,99083225,198289906,297373131,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njoroge Murengeti Farm
,00428,0894-0000-0428,WALTER,,KARANJA,R009,NDERU,,254730725315,92169689,184462834,276632523,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Karanja Nderu Farm
,00438,0894-0000-0438,MIRIAM,,WANJIKU,R019,KIHURURU,,254731428980,99206681,198536818,297743499,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Kihururu Farm
,00442,0894-0000-0442,LEAH,,WAMBUI,R003,RIRONI,,254731441325,99330137,198783730,298113867,P. O. Box 8,Rironi,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wambui Rironi Farm
,00446,0894-0000-0446,PAUL,,NJOROGE,R011,NYATHUNA,,254731453670,99453593,199030642,298484235,P. O. Box 8,Nyathuna,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njoroge Nyathuna Farm
,00449,0894-0000-0449,THUO,,GICHEHA,R001,LIMURU,,254731466015,99577049,199277554,298854603,P. O. Box 8,Limuru,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gicheha Limuru Farm
,00460,0894-0000-0460,JOSEPHINE,,WANJIKU,R009,NDERU,,254731478360,99700505,199524466,299224971,P. O. Box 8,Nderu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiku Nderu Farm
,00474,0894-0000-0474,KEKE,,NJENGA,R004,TIEKUNU,,254731354910,98465945,197055346,295521291,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njenga Tiekunu Farm
,00477,0894-0000-0477,LUCIA,,WANJIRU,R002,NGECHA,,254731490705,99823961,199771378,299595339,P. O. Box 8,Ngecha,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjiru Ngecha Farm
,00481,0894-0000-0481,ALEX,,GICHIA,R022,NDUMA,,254731503050,99947417,200018290,299965707,P. O. Box 8,Nduma,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gichia Nduma Farm
,00484,0894-0000-0484,RAHAB,,WAMBUI,R022,NDUMA,,254731515395,100070873,200265202,300336075,P. O. Box 8,Nduma,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wambui Nduma Farm
,00486,0894-0000-0486,DOMINIC,,GITAU,R020,NGARARIGA,,254733219005,117107801,234339058,351446859,P. O. Box 8,Ngarariga,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Gitau Ngarariga Farm
,00487,0894-0000-0487,JOSPHINE,,MUTHONI,R023,KINYOGORI,,254731527740,100194329,200512114,300706443,P. O. Box 8,Kinyogori,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Muthoni Kinyogori Farm
,00488,0894-0000-0488,GIKONYO,,KARANJA,R019,KIHURURU,,254731540085,100317785,200759026,301076811,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Karanja Kihururu Farm
,00492,0894-0000-0492,JOSEPH,,KIHUNII,R005,MURENGETI,,254731552430,100441241,201005938,301447179,P. O. Box 8,Murengeti,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Kihunii Murengeti Farm
,00493,0894-0000-0493,PETER,,NJOGU,R026,KAMONDE,,254731564775,100564697,201252850,301817547,P. O. Box 8,Kamonde,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Njogu Kamonde Farm
,00494,0894-0000-0494,NGIGI,,WANJOHI,R015,NDIONI,,254731577120,100688153,201499762,302187915,P. O. Box 8,Ndioni,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Wanjohi Ndioni Farm
,00501,0894-0000-0501,WILLIAM,,MBURU,R019,KIHURURU,,254731589465,100811609,201746674,302558283,P. O. Box 8,Kihururu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mburu Kihururu Farm
,00507,0894-0000-0507,EUNICE,,MARY,R014,KWAMBIRA,,254731601810,100935065,201993586,302928651,P. O. Box 8,Kwambira,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Mary Kwambira Farm
,00508,0894-0000-0508,GRACE,,NYAMBURA,R004,TIEKUNU,,254731614155,101058521,202240498,303299019,P. O. Box 8,Tiekunu,Limuru,00217,Kiambu,Central,-1.1692,36.6903,Active,Nyambura Tiekunu Farm
